service,type,genre,score,popularity
amazon,Movie,Romance,4.85,43.626999999999995
hbo,Movie,Fantasy,8.1,20.034000000000002
hbo,Movie,Drama,8.1,20.034000000000002
netflix,Movie,Action,7.0,72.693
netflix,Movie,Adventure,7.0,72.693
netflix,Movie,Animation,7.0,72.693
netflix,Movie,Science Fiction,7.0,72.693
netflix,Movie,Thriller,7.0,72.693
amazon,Movie,Documentary,8.0,1.8869999999999998
netflix,Movie,Comedy,4.25,2.7310000000000003
netflix,Movie,Drama,4.25,2.7310000000000003
amazon,Movie,Thriller,5.05,6.532
netflix,Movie,Drama,5.95,5.755
amazon,Movie,Drama,6.949999999999999,9.617
amazon,Movie,Comedy,6.949999999999999,9.617
netflix,Movie,Drama,5.5,6.784
netflix,Movie,Family,5.5,6.784
netflix,Movie,Family,5.85,53.763000000000005
netflix,Movie,Fantasy,5.85,53.763000000000005
netflix,Movie,Adventure,5.85,53.763000000000005
netflix,Movie,Comedy,5.85,53.763000000000005
netflix,Movie,Comedy,5.949999999999999,22.765
hulu,Movie,Drama,7.15,14.74
hulu,Movie,History,7.15,14.74
netflix,Movie,Romance,6.65,3.755
netflix,Movie,Drama,6.65,3.755
hulu,Movie,Documentary,7.15,6.925
amazon,Movie,Comedy,6.35,6.147
amazon,Movie,Drama,6.35,6.147
amazon,Movie,Family,5.4,0.7020000000000001
netflix,Movie,Fantasy,6.4,3.714
netflix,Movie,Drama,6.4,3.714
hbo,Movie,Drama,6.800000000000001,3.444
hbo,Movie,Comedy,6.800000000000001,3.444
hbo,Movie,Family,6.800000000000001,3.444
amazon,Movie,Drama,6.800000000000001,3.444
amazon,Movie,Comedy,6.800000000000001,3.444
amazon,Movie,Family,6.800000000000001,3.444
hulu,Movie,Family,7.1,7.8660000000000005
hulu,Movie,Animation,7.1,7.8660000000000005
hulu,Movie,Comedy,7.1,7.8660000000000005
amazon,Movie,Drama,5.7,2.1790000000000003
amazon,Movie,Action,5.7,2.1790000000000003
amazon,Movie,Family,5.7,2.1790000000000003
amazon,Movie,War,5.7,2.1790000000000003
amazon,Movie,TV Movie,3.7,2.013
amazon,Movie,Comedy,3.7,2.013
amazon,Movie,Drama,3.7,2.013
amazon,Movie,Romance,6.35,8.559
amazon,Movie,Comedy,6.35,8.559
amazon,Movie,TV Movie,6.35,8.559
netflix,Movie,Drama,7.300000000000001,15.327
netflix,Movie,History,7.300000000000001,15.327
netflix,Movie,War,7.300000000000001,15.327
hbo,Movie,Documentary,7.35,6.952999999999999
amazon,Movie,Comedy,6.6,7.4879999999999995
amazon,Movie,Horror,6.6,7.4879999999999995
amazon,Movie,Comedy,6.6,7.4879999999999995
amazon,Movie,Horror,6.6,7.4879999999999995
disney,Movie,Adventure,7.1,77.344
disney,Movie,Animation,7.1,77.344
disney,Movie,Comedy,7.1,77.344
disney,Movie,Family,7.1,77.344
disney,Movie,Music,7.1,7.593
disney,Movie,Documentary,7.1,7.593
amazon,Movie,History,3.1,0.6
amazon,Movie,Documentary,3.1,0.6
netflix,Movie,Family,6.85,4.7669999999999995
netflix,Movie,Comedy,5.3,2.801
netflix,Movie,Romance,5.3,2.801
hbo,Movie,Animation,3.4,0.627
amazon,Movie,Fantasy,7.4,13.220999999999998
amazon,Movie,Action,7.4,13.220999999999998
amazon,Movie,Fantasy,6.75,9.811
amazon,Movie,Action,6.75,9.811
amazon,Movie,Comedy,6.75,9.811
amazon,Movie,Action,6.45,12.558
amazon,Movie,Comedy,6.45,12.558
amazon,Movie,Fantasy,6.45,12.558
netflix,Movie,Comedy,5.15,3.722
netflix,Movie,Romance,5.15,3.722
amazon,Movie,Music,6.25,10.693
amazon,Movie,Drama,6.25,10.693
netflix,Movie,TV Movie,5.4,5.343999999999999
netflix,Movie,Romance,5.4,5.343999999999999
hulu,Movie,Romance,5.75,4.275
hulu,Movie,TV Movie,5.75,4.275
hulu,Movie,Fantasy,5.75,4.275
netflix,Movie,Romance,6.25,12.550999999999998
netflix,Movie,TV Movie,6.25,12.550999999999998
netflix,Movie,Romance,5.85,12.222000000000001
netflix,Movie,Family,5.85,12.222000000000001
netflix,Movie,Romance,5.85,13.842
netflix,Movie,Comedy,5.85,13.842
amazon,Movie,Romance,6.15,7.79
amazon,Movie,TV Movie,6.15,7.79
hulu,Movie,Romance,6.050000000000001,4.882
hulu,Movie,TV Movie,6.050000000000001,4.882
hbo,Movie,Comedy,7.6,14.023
hbo,Movie,Family,7.6,14.023
amazon,Movie,Drama,5.65,5.666
amazon,Movie,Romance,5.65,5.666
amazon,Movie,TV Movie,5.65,5.666
hulu,Movie,Crime,7.1,5.452999999999999
hulu,Movie,Drama,7.1,5.452999999999999
hbo,Movie,Comedy,6.2,33.721
netflix,Movie,Comedy,6.2,33.721
netflix,Movie,Comedy,5.85,26.509
netflix,Movie,Music,5.85,26.509
netflix,Movie,Romance,5.85,26.509
netflix,Movie,Fantasy,5.85,26.509
hbo,Movie,Comedy,6.2,22.693
hbo,Movie,Family,6.2,22.693
hbo,Movie,Romance,6.2,22.693
netflix,Movie,Science Fiction,8.25,42.45
netflix,Movie,Drama,8.25,42.45
amazon,Movie,War,5.25,16.160999999999998
amazon,Movie,Drama,5.25,16.160999999999998
amazon,Movie,TV Movie,5.800000000000001,2.991
amazon,Movie,Drama,5.800000000000001,2.991
amazon,Movie,Family,5.800000000000001,2.991
amazon,Movie,Family,6.1,5.9479999999999995
hbo,Movie,Documentary,6.35,4.145
netflix,Movie,Drama,5.5,2.5780000000000003
amazon,Movie,Mystery,4.4,1.04
amazon,Movie,Thriller,4.4,1.04
hbo,Movie,Drama,7.55,6.099
hbo,Movie,Romance,7.55,6.099
hbo,Movie,Comedy,7.55,6.099
hbo,Movie,Comedy,6.4,5.018
amazon,Movie,Horror,4.4,0.84
amazon,Movie,Drama,7.3,4.293
amazon,Movie,Thriller,7.3,4.293
amazon,Movie,Drama,5.1,1.6130000000000002
amazon,Movie,Drama,5.35,1.274
amazon,Movie,Romance,5.35,1.274
amazon,Movie,Drama,5.85,1.758
hbo,Movie,Comedy,7.6,9.517000000000001
hbo,Movie,Drama,7.6,9.517000000000001
amazon,Movie,Drama,5.85,3.511
amazon,Movie,Action,5.85,3.511
netflix,Movie,Comedy,4.85,11.319
netflix,Movie,Family,4.85,11.319
netflix,Movie,Fantasy,4.85,11.319
netflix,Movie,TV Movie,4.85,11.319
netflix,Movie,Drama,6.5,18.715
netflix,Movie,Fantasy,6.5,18.715
netflix,Movie,Thriller,6.5,18.715
netflix,Movie,Documentary,6.15,1.4140000000000001
hbo,Movie,Documentary,5.55,1.4
amazon,Movie,Drama,6.6,23.745
netflix,Movie,Comedy,5.85,4.508
netflix,Movie,Family,5.85,4.508
amazon,Movie,Drama,6.4,6.656000000000001
amazon,Movie,Romance,6.4,6.656000000000001
amazon,Movie,War,6.4,6.656000000000001
amazon,Movie,Thriller,7.0,2.09
hulu,Movie,Drama,6.3,7.4110000000000005
hulu,Movie,History,6.3,7.4110000000000005
hulu,Movie,Horror,6.3,7.4110000000000005
hulu,Movie,Thriller,6.3,7.4110000000000005
hulu,Movie,Comedy,6.3,7.4110000000000005
hulu,Movie,Adventure,6.3,7.4110000000000005
amazon,Movie,Drama,5.65,6.515
hbo,Movie,Documentary,6.95,0.623
amazon,Movie,Drama,5.2,2.8310000000000004
hbo,Movie,Comedy,7.35,19.964000000000002
hbo,Movie,Crime,7.35,19.964000000000002
netflix,Movie,Fantasy,3.45,3.2119999999999997
netflix,Movie,Action,3.45,3.2119999999999997
netflix,Movie,Adventure,3.45,3.2119999999999997
netflix,Movie,Drama,7.050000000000001,14.267000000000001
netflix,Movie,Comedy,6.65,10.845
netflix,Movie,Drama,7.0,19.879
netflix,Movie,Fantasy,7.0,19.879
hbo,Movie,Documentary,7.7,3.451
amazon,Movie,Drama,6.550000000000001,1.693
amazon,Movie,Drama,7.0,4.064
amazon,Movie,Family,7.0,4.064
amazon,Movie,TV Movie,7.0,4.064
netflix,Movie,Animation,5.35,15.956
netflix,Movie,Family,5.35,15.956
netflix,Movie,Animation,6.35,2.138
netflix,Movie,Family,6.35,2.138
netflix,Movie,TV Movie,6.35,2.138
netflix,Movie,Animation,3.65,4.438
netflix,Movie,Family,3.65,4.438
hbo,Movie,Documentary,6.6,3.616
amazon,Movie,Action,4.85,27.574
amazon,Movie,Comedy,6.0,12.475999999999999
amazon,Movie,Comedy,6.85,14.164000000000001
amazon,Movie,Drama,6.85,14.164000000000001
amazon,Movie,Romance,6.85,14.164000000000001
disney,Movie,Romance,6.9,21.903000000000002
disney,Movie,Animation,6.9,21.903000000000002
disney,Movie,Family,6.9,21.903000000000002
disney,Movie,Comedy,6.9,21.903000000000002
disney,Movie,Adventure,6.9,21.903000000000002
netflix,Movie,Animation,7.5,6.945
netflix,Movie,Documentary,7.5,6.945
netflix,Movie,Documentary,6.25,7.999
hbo,Movie,Music,7.5,12.402000000000001
hbo,Movie,Comedy,7.5,12.402000000000001
netflix,Movie,Comedy,5.35,78.98100000000001
